               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10752,            0.028484,                   0,            0.001424,               0.245,          0.00098481,          0.00016724,            0.090598,            0.021959,                   0,             0.00037,             0.00037,             0.09667
                   1,            0.092247,            0.023264,                   0,             0.00669,                 0.1,           0.0028146,          0.00061994,            0.076902,            0.020584,                   0,          0.00067575,          0.00067575,            0.093176
                   2,            0.078517,            0.022836,                   0,             0.24705,                0.26,             0.15519,            0.036732,            0.062001,            0.020576,                   0,          0.00090626,          0.00090626,            0.089606
                   3,            0.063272,            0.022984,                   0,             0.76393,                0.66,              0.7139,              0.2697,            0.046107,            0.018388,                   0,           0.0010615,           0.0010615,            0.085962
                   4,            0.057138,            0.019782,                   0,             0.72035,             0.64398,             0.72732,             0.25267,             0.05045,             0.01572,                   0,           0.0011416,           0.0011416,            0.082242
                   5,            0.052641,            0.018334,                   0,             0.56216,             0.51357,             0.48684,            0.093033,            0.059399,            0.013451,                   0,           0.0011463,           0.0011463,            0.078446
                   6,            0.049156,            0.017062,                   0,             0.78663,                0.69,             0.80807,             0.24942,            0.046909,            0.012618,                   0,           0.0010759,           0.0010759,            0.074576
                   7,            0.045233,            0.015304,                   0,             0.91666,             0.82498,             0.92678,             0.50244,            0.032885,             0.01201,                   0,          0.00093021,          0.00093021,             0.07063
                   8,            0.039998,            0.014575,                   0,              0.9441,               0.855,             0.94891,             0.54455,            0.030095,            0.011096,                   0,          0.00070928,          0.00070928,            0.066609
                   9,            0.034317,            0.014064,                   0,             0.89413,                0.93,             0.95897,             0.59991,            0.027913,            0.010362,                   0,          0.00041311,          0.00041311,            0.062513
